"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"HERC6",341.497886387695,1.66575279827258,0.180228949474495,9.24242638671267,2.40969720167186e-20,5.78327328401246e-18
"HES4",27.6722412080858,2.49478191978279,0.427665011388927,5.83349550079043,5.42780715340488e-09,4.73699533388062e-07
"HESX1",29.1582841988886,2.91166006333324,0.423989572087433,6.8672916859682,6.54321969896002e-12,8.39966807866495e-10
"HIST1H2AG",11.9958893689029,1.1806713694406,0.37611532865969,3.1391205821044,0.00169455701850288,0.029908728192281
"HIST1H4J",8.27866767340193,1.21554238220637,0.36861797539794,3.29756675836042,0.000975264875534284,0.0199471764827635
"HIST1H4K",5.74584417713842,1.17433123009219,0.394433593931458,2.97725966591036,0.00290837568842759,0.0457385578351005
"HIST2H2BE",468.293050710576,1.00452418641304,0.168902017499869,5.94737825682762,2.72471276388283e-09,2.48601891845178e-07
"HSH2D",775.713124694499,1.37940447980938,0.129933769419502,10.6162122900926,2.50521104906098e-26,8.13456764165682e-24
"IFI27",2382.4559661831,6.87929301637738,0.572561421770913,12.0149432965636,2.9657300696731e-33,1.4551848875196e-30
"IFI35",1608.00323756123,1.4184878874461,0.101643991823468,13.9554523784316,2.91446581087891e-44,2.6813085460086e-41
"IFI44",1865.5008536026,2.76057532828805,0.182802017224192,15.1014489347918,1.58413712649472e-51,2.69059598100026e-48
"IFI44L",4285.48434534319,3.89463049923002,0.255984906957568,15.2142973799451,2.84254866633235e-52,6.97371939473537e-49
"IFI6",10179.7912745355,3.19104896288978,0.199836335676224,15.9683120293996,2.12457994896288e-57,9.38214505462009e-54
"IFIH1",720.067252079962,1.67277606102144,0.15089378095453,11.0857853149396,1.47054302024219e-28,5.59820515292198e-26
"IFIT1",1750.4755794417,3.62345188010627,0.239752461242036,15.113304202739,1.32334134356003e-51,2.43494807215046e-48
"IFIT1B",26.3381383989258,3.63862715768458,0.281307806826704,12.9346824701744,2.86805565166243e-38,1.97895839964707e-35
"IFIT2",4092.27795168786,2.66568028537597,0.207506762138614,12.8462333367011,9.03011924921039e-38,6.0419706976535e-35
"IFIT3",3678.69449349178,3.44872006986759,0.219104449603645,15.7400731756304,8.03507062506028e-56,2.95690599002218e-52
"IFIT5",478.962009860548,1.46377262697794,0.152165806567448,9.61958970939449,6.60942677845761e-22,1.75826678636559e-19
"IFIT6P",5.32443038309073,2.89509961329643,0.555730779020259,5.2095362045637,1.89313265392243e-07,1.24777220891365e-05
"IFITM1",3615.9337304861,3.13815400951904,0.217820665247044,14.4070536464474,4.67220719966669e-47,5.42959657729687e-44
"IFITM3",13025.110050409,2.4990513089824,0.195344093737127,12.7930732952968,1.79242876744466e-37,1.13076649100509e-34
"IFITM9P",83.2073432819559,1.43560776106222,0.136565091673839,10.5122600766154,7.58535852026699e-26,2.35893966376754e-23
"IL27",38.3570812146404,1.16616206196048,0.26056429269842,4.47552521446294,7.62237021733694e-06,0.000343473335507754
"IL4I1",137.276758002534,1.06446179196707,0.198618844275118,5.35931923202927,8.35361317741254e-08,5.85667341292597e-06
"IRF7",3259.93160723652,1.88697873553473,0.125067931844702,15.0876304397342,1.95332154456901e-51,3.08066712172026e-48
"ISG15",3783.87967201448,2.99768728490206,0.186279205127327,16.0924418957717,2.88240878582234e-58,2.12145286636524e-54
"ISG20",355.650320554664,1.7220189826025,0.1598441101696,10.7731150104648,4.61130497687331e-27,1.60876587087974e-24
"JUP",1232.44681000057,1.47113306121932,0.219320440894733,6.70768787085114,1.97732306195202e-11,2.39886226417037e-09
"KCTD14",6.67405930082108,4.13141565105786,1.13130295612957,3.65190918018312,0.000260297946340699,0.00710484988915688
"KIAA1958",620.942461214667,1.61696833433903,0.158146951535907,10.2244672985169,1.54072704057991e-24,4.53590040746726e-22
"KLHDC7B",279.979676276765,1.9136815482062,0.209515978702764,9.13382148729146,6.61230219013301e-20,1.50515084905296e-17
"KMO",207.553111095092,1.01463707766794,0.161609774807541,6.27831502689895,3.42261895273584e-10,3.5986393560194e-08
"LAP3",5225.09894432814,1.56108738009816,0.127190842125158,12.2735831763896,1.25570728475986e-34,6.76244313353601e-32
"LGALS3BP",1684.22381306175,3.55964272051818,0.253284713329534,14.0539185082478,7.28868707944422e-45,6.99713959626645e-42
"LINC00487",13.8929650061025,3.83139313423274,1.03629214213549,3.69721334211547,0.000217979145378153,0.00613900450248676
"LINC01554",14.2010133017162,1.05034744547974,0.199579481535968,5.26280275605611,1.41875763315911e-07,9.46409925684385e-06
"LIPM",2.72345105746295,3.29494256072122,0.958963377236981,3.4359420171131,0.00059049733599516,0.0138067807837347
"LY6E",8788.5448745947,3.04483649385278,0.190539977917923,15.9800401318634,1.76032559891638e-57,9.38214505462009e-54
"MID1",3.84559026782532,1.85297803453891,0.536040484016024,3.45678748115509,0.000546655775526741,0.0129786661544413
